Company,Sector,Industry,No. of Employees,Net Income to Common Stakeholders
APA,Energy,Oil & Gas E&P,2272,8000000
COG,Energy,Oil & Gas E&P,503,272972992
COP,Energy,Oil & Gas E&P,10300,20000000
COTY,Consumer Defensive,Household & Personal Products,18260,-641400000
CVX,Energy,Oil & Gas Integrated,47736,-7765000192
DVN,Energy,Oil & Gas E&P,1400,-652000000
EOG,Energy,Oil & Gas E&P,2900,62428000
EQT,Energy,Oil & Gas E&P,624,-840545024
FLR,Industrials,Engineering & Construction,43717,-376479008
FTI,Energy,Oil & Gas Equipment & Services,20000,377500000
HAL,Energy,Oil & Gas Equipment & Services,40000,-1758000000
HES,Energy,Oil & Gas E&P,1621,-408000000
HP,Energy,Oil & Gas Drilling,4600,-309240000
KMI,Energy,Oil & Gas Midstream,10524,1816999936
MAT,Consumer Cyclical,Leisure,32100,222151008
MPC,Energy,Oil & Gas Refining & Marketing,57900,-1956000000
MRO,Energy,Oil & Gas E&P,1672,-1308000000
NOV,Energy,Oil & Gas Equipment & Services,27631,-610000000
OKE,Energy,Oil & Gas Midstream,2886,1139741952
OXY,Energy,Oil & Gas E&P,11800,-12046000128
PSX,Energy,Oil & Gas Refining & Marketing,14300,-2142000000
PXD,Energy,Oil & Gas E&P,1853,-560000000
RRC,Energy,Oil & Gas E&P,533,-849366016
SLB,Energy,Oil & Gas Equipment & Services,86000,-2843000064
VLO,Energy,Oil & Gas Refining & Marketing,9964,-279000000
WMB,Energy,Oil & Gas Midstream,4739,1151000064
XEC,Energy,Oil & Gas E&P,747,-1071484992
XOM,Energy,Oil & Gas Integrated,72000,-19100000256
