Company,Sector,Industry,No. of Employees,Net Income to Common Stakeholders
AAL,Industrials,Airlines,113200,-7894000128
ABC,Healthcare,Medical Distribution,22000,-3746521088
ADM,Consumer Defensive,Farm Products,37575,2070000000
ADS,Financial Services,Credit Services,8000,551200000
AFL,Financial Services,Insurance—Life,12003,5504999936
AIG,Financial Services,Insurance—Diversified,45000,-3849999872
ALK,Industrials,Airlines,17140,-1223000064
AMG,Financial Services,Asset Management,3900,367700000
AMP,Financial Services,Asset Management,12300,-65000000
APTV,Consumer Cyclical,Auto Parts,151000,476000000
AYI,Industrials,Electrical Equipment & Parts,11500,256600000
BA,Industrials,Aerospace & Defense,141000,-11781999616
BAC,Financial Services,Banks—Diversified,212000,20491999232
BEN,Financial Services,Asset Management,11100,1055500032
BHF,Financial Services,Insurance—Life,1400,-6664999936
BK,Financial Services,Asset Management,48000,3332999936
BWA,Consumer Cyclical,Auto Parts,49700,436000000
C,Financial Services,Banks—Diversified,211000,15242999808
CAH,Healthcare,Medical Distribution,48000,1151000064
CCL,Consumer Cyclical,Travel Services,70000,-11427999744
CF,Basic Materials,Agricultural Inputs,2970,400000000
CFG,Financial Services,Banks—Regional,17405,1526000000
CMA,Financial Services,Banks—Regional,7653,861000000
COF,Financial Services,Credit Services,51700,7036000256
CVS,Healthcare,Healthcare Plans,213000,7404000256
DAL,Industrials,Airlines,74000,-13027999744
DFS,Financial Services,Credit Services,17600,2728000000
DISCA,Communication Services,Entertainment,9800,878000000
DISCK,Communication Services,Entertainment,9800,878000000
DISH,Communication Services,Entertainment,13500,2319798016
DXC,Technology,Information Technology Services,138000,-2846000128
EMN,Basic Materials,Chemicals,14500,494000000
EXPE,Consumer Cyclical,Travel Services,19100,-1992000000
F,Consumer Cyclical,Auto Manufacturers,186000,3976000000
FITB,Financial Services,Banks—Regional,19819,1960999936
FL,Consumer Cyclical,Footwear & Accessories,15791,323000000
FLS,Industrials,Specialty Industrial Machinery,16000,118283000
GE,Industrials,Specialty Industrial Machinery,174000,-968000000
GM,Consumer Cyclical,Auto Manufacturers,155000,8976000000
GPS,Consumer Cyclical,Apparel Retail,117000,-665000000
GS,Financial Services,Capital Markets,40300,14478000128
GT,Consumer Cyclical,Auto Parts,62000,-623000000
HAS,Consumer Cyclical,Leisure,6822,408419008
HBAN,Financial Services,Banks—Regional,15449,1188000000
HBI,Consumer Cyclical,Apparel Manufacturing,61000,47707000
HOG,Consumer Cyclical,Recreational Vehicles,5150,190747008
HPE,Technology,Communication Equipment,59400,-432000000
HPQ,Technology,Computer Hardware,53000,3233999872
HRB,Consumer Cyclical,Personal Services,3500,101942000
IBM,Technology,Information Technology Services,345900,5280999936
IPG,Communication Services,Advertising Agencies,50200,438100000
IVZ,Financial Services,Asset Management,8426,711100032
JNPR,Technology,Communication Equipment,9884,206300000
JPM,Financial Services,Banks—Diversified,259350,38829998080
JWN,Consumer Cyclical,Department Stores,62000,-690000000
KEY,Financial Services,Banks—Regional,17086,1696000000
KSS,Consumer Cyclical,Department Stores,110000,-163000000
L,Financial Services,Insurance—Property & Casualty,12200,-38000000
LB,Consumer Cyclical,Apparel Retail,22400,844000000
LEG,Consumer Cyclical,"Furnishings, Fixtures & Appliances",20000,291000000
LNC,Financial Services,Insurance—Life,10966,672000000
LUV,Industrials,Airlines,56051,-2864000000
LYB,Basic Materials,Specialty Chemicals,19200,2347000064
M,Consumer Cyclical,Department Stores,75711,-3944000000
MCK,Healthcare,Medical Distribution,59000,-4537999872
MGM,Consumer Cyclical,Resorts & Casinos,45000,-2153400064
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",42000,641888000
MOS,Basic Materials,Agricultural Inputs,12617,1025800000
MS,Financial Services,Capital Markets,71000,12892000256
MTB,Financial Services,Banks—Regional,16718,1456457984
NAVI,Financial Services,Credit Services,5560,888000000
NCLH,Consumer Cyclical,Travel Services,34300,-4012514048
NLSN,Industrials,Consulting Services,43000,-6000000
NTAP,Technology,Computer Hardware,10800,592000000
NTRS,Financial Services,Asset Management,20600,1170000000
NUE,Basic Materials,Steel,26400,1639214976
NWL,Consumer Defensive,Household & Personal Products,31000,598000000
NWS,Communication Services,Broadcasting,23500,-862000000
NWSA,Communication Services,Broadcasting,23500,-862000000
OMC,Communication Services,Advertising Agencies,64100,975100032
PBCT,Financial Services,Banks—Regional,5640,219600000
PDCO,Healthcare,Medical Distribution,7800,-481360000
PFG,Financial Services,Insurance—Diversified,17400,1624000000
PNC,Financial Services,Banks—Regional,49549,3764000000
PRGO,Healthcare,Drug Manufacturers—Specialty & Generic,11500,-162600000
PRU,Financial Services,Insurance—Life,41671,-395000000
PVH,Consumer Cyclical,Apparel Manufacturing,20000,-1136099968
RCL,Consumer Cyclical,Travel Services,84900,-5484704768
RF,Financial Services,Banks—Regional,18926,1466000000
RHI,Industrials,Staffing & Employment Services,13000,326959008
RJF,Financial Services,Capital Markets,14800,1047000000
RL,Consumer Cyclical,Apparel Manufacturing,13700,-296000000
SCHW,Financial Services,Capital Markets,32000,3673999872
SIG,Consumer Cyclical,Luxury Goods,21700,-48700000
STT,Financial Services,Asset Management,39318,2166000128
STX,Technology,Computer Hardware,42000,998000000
SYF,Financial Services,Credit Services,16500,2082000000
TPR,Consumer Cyclical,Luxury Goods,12400,-428200000
TRIP,Consumer Cyclical,Travel Services,2196,-289000000
UA,Consumer Cyclical,Apparel Manufacturing,7000,-549177024
UAA,Consumer Cyclical,Apparel Manufacturing,7000,-549177024
UAL,Industrials,Airlines,84100,-6721999872
UNM,Financial Services,Insurance—Life,10300,793000000
USB,Financial Services,Banks—Regional,70000,5708000256
WBA,Healthcare,Pharmaceutical Retailers,223000,-649000000
WDC,Technology,Computer Hardware,63800,347000000
WFC,Financial Services,Banks—Diversified,264513,6031000064
WYNN,Consumer Cyclical,Resorts & Casinos,27500,-2067245056
XRX,Technology,Information Technology Services,24600,219000000
ZION,Financial Services,Banks—Regional,9682,809000000
