Company,Sector,Industry,No. of Employees,Net Income to Common Stakeholders
AIV,Real Estate,REIT—Residential,52,-5771000
AMT,Real Estate,REIT—Specialty,5618,1920600064
ARE,Real Estate,REIT—Office,470,750057984
AVB,Real Estate,REIT—Residential,2966,800030016
BXP,Real Estate,REIT—Office,750,456617984
CCI,Real Estate,REIT—Specialty,4900,963000000
DLR,Real Estate,REIT—Office,2878,432888992
DRE,Real Estate,REIT—Industrial,350,358296000
EQIX,Real Estate,REIT—Specialty,10207,407347008
EQR,Real Estate,REIT—Residential,2600,659478976
ESS,Real Estate,REIT—Residential,1763,422308000
EXR,Real Estate,REIT—Industrial,4013,575742976
FRT,Real Estate,REIT—Retail,307,116098000
IRM,Real Estate,REIT—Specialty,24000,324320992
KIM,Real Estate,REIT—Retail,484,1018966016
MAA,Real Estate,REIT—Residential,2530,261476992
MAC,Real Estate,REIT—Retail,659,-302268992
O,Real Estate,REIT—Retail,208,344599008
PLD,Real Estate,REIT—Industrial,1945,1349518976
PSA,Real Estate,REIT—Industrial,5400,1171010944
REG,Real Estate,REIT—Retail,431,150876992
SBAC,Real Estate,REIT—Specialty,1483,139416992
SLG,Real Estate,REIT—Office,794,232276000
SPG,Real Estate,REIT—Retail,2400,1117481984
UDR,Real Estate,REIT—Residential,1263,57929000
VNO,Real Estate,REIT—Office,2899,-349680992
VTR,Real Estate,REIT—Healthcare Facilities,448,-91177000
