Company,Sector,Industry,No. of Employees,Net Income to Common Stakeholders
AAP,Consumer Cyclical,Specialty Retail,40000,493020992
ALB,Basic Materials,Specialty Chemicals,5900,375764000
ALLE,Industrials,Security & Protection Services,11500,421900000
AME,Industrials,Specialty Industrial Machinery,16500,872438976
AOS,Industrials,Specialty Industrial Machinery,13900,390900000
APD,Basic Materials,Chemicals,19000,1897100032
APH,Technology,Electronic Components,80000,1290899968
AVY,Industrials,Business Equipment & Supplies,32000,631200000
AXP,Financial Services,Credit Services,63700,4909000192
AZO,Consumer Cyclical,Specialty Retail,60000,1871730944
BBY,Consumer Cyclical,Specialty Retail,61200,1798000000
BLK,Financial Services,Asset Management,16500,5325000192
BLL,Consumer Cyclical,Packaging & Containers,21500,585000000
CAT,Industrials,Farm & Heavy Construction Machinery,97300,3436000000
CHRW,Industrials,Integrated Freight & Logistics,14997,601580032
CHTR,Communication Services,Entertainment,96100,3632999936
CMCSA,Communication Services,Entertainment,168000,11715999744
CMI,Industrials,Specialty Industrial Machinery,57825,1788999936
CSCO,Technology,Communication Equipment,77500,10129000448
CSX,Industrials,Railroads,19000,2700999936
CTSH,Technology,Information Technology Services,289500,1392000000
DE,Industrials,Farm & Heavy Construction Machinery,69634,3457999872
DHI,Consumer Cyclical,Residential Construction,9716,3180999936
DIS,Communication Services,Entertainment,175000,-4930999808
DOV,Industrials,Specialty Industrial Machinery,23000,739940992
DRI,Consumer Cyclical,Restaurants,177895,-216300000
ECL,Basic Materials,Specialty Chemicals,44000,869000000
EMR,Industrials,Specialty Industrial Machinery,83500,2084000000
ETN,Industrials,Specialty Industrial Machinery,91987,1410000000
EXPD,Industrials,Integrated Freight & Logistics,17480,696140032
FAST,Industrials,Industrial Distribution,18094,867100032
FBHS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",27500,621800000
FDX,Industrials,Integrated Freight & Logistics,324000,3023000064
FFIV,Technology,Software—Infrastructure,6048,278454016
FLIR,Technology,Scientific & Technical Instruments,4179,212584000
FMC,Basic Materials,Agricultural Inputs,6400,578400000
FOX,Communication Services,Broadcasting,9000,1530000000
FOXA,Communication Services,Broadcasting,9000,1530000000
FTV,Technology,Scientific & Technical Instruments,17000,1440099968
GLW,Technology,Electronic Components,50110,1108999936
GPC,Consumer Cyclical,Specialty Retail,50000,258759008
GRMN,Technology,Scientific & Technical Instruments,16000,1051172992
GWW,Industrials,Industrial Distribution,21800,760000000
HD,Consumer Cyclical,Home Improvement Retail,504800,12865999872
HII,Industrials,Aerospace & Defense,42000,696000000
HLT,Consumer Cyclical,Lodging,141000,-715000000
HON,Industrials,Specialty Industrial Machinery,103000,4624999936
HST,Real Estate,REIT—Hotel & Motel,163,-732000000
IFF,Basic Materials,Specialty Chemicals,13700,364031008
IP,Consumer Cyclical,Packaging & Containers,48000,972000000
IR,Industrials,Specialty Industrial Machinery,15900,116000000
IT,Technology,Information Technology Services,15600,266744992
ITW,Industrials,Specialty Industrial Machinery,43000,2214000128
JBHT,Industrials,Integrated Freight & Logistics,30309,547806976
JCI,Industrials,Engineering & Construction,97000,929000000
KMX,Consumer Cyclical,Auto & Truck Dealerships,26889,746918976
KSU,Industrials,Railroads,6522,618099968
LEN,Consumer Cyclical,Residential Construction,9495,3031736064
LKQ,Consumer Cyclical,Auto Parts,44000,758380032
LMT,Industrials,Aerospace & Defense,114000,7008000000
LOW,Consumer Cyclical,Home Improvement Retail,220000,5810999808
MAR,Consumer Cyclical,Lodging,121000,-267000000
MAS,Industrials,Building Products & Equipment,18000,760000000
MLM,Basic Materials,Building Materials,8700,720400000
MMM,Industrials,Specialty Industrial Machinery,95000,5699999744
NKE,Consumer Cyclical,Footwear & Accessories,75400,3428000000
NOC,Industrials,Aerospace & Defense,97000,4515999744
NSC,Industrials,Railroads,19100,2302000128
ORLY,Consumer Cyclical,Specialty Retail,77383,1953473024
PCAR,Industrials,Farm & Heavy Construction Machinery,26000,1409100032
PH,Industrials,Specialty Industrial Machinery,50520,1536077952
PHM,Consumer Cyclical,Residential Construction,5249,1494139008
PKG,Consumer Cyclical,Packaging & Containers,15200,482100000
PNR,Industrials,Specialty Industrial Machinery,9750,415500000
PPG,Basic Materials,Specialty Chemicals,46900,1191000064
PWR,Industrials,Engineering & Construction,35800,445596000
ROK,Industrials,Specialty Industrial Machinery,23500,1586599936
ROP,Industrials,Specialty Industrial Machinery,18400,998400000
ROST,Consumer Cyclical,Apparel Retail,93700,85382000
SEE,Consumer Cyclical,Packaging & Containers,16500,483900000
SHW,Basic Materials,Specialty Chemicals,61031,2118300032
SNA,Industrials,Tools & Accessories,12300,682400000
SRCL,Industrials,Waste Management,14400,-11100000
SWK,Industrials,Tools & Accessories,53000,1555200000
SYY,Consumer Defensive,Food Distribution,57000,-337527008
TDG,Industrials,Aerospace & Defense,14200,396000000
TEL,Technology,Electronic Components,80000,1050000000
TJX,Consumer Cyclical,Apparel Retail,320000,90470000
TROW,Financial Services,Asset Management,7697,2703200000
TSCO,Consumer Cyclical,Specialty Retail,42000,846534976
TXT,Industrials,Aerospace & Defense,33000,430000000
ULTA,Consumer Cyclical,Specialty Retail,16000,175835008
UNP,Industrials,Railroads,29755,5216000000
UPS,Industrials,Integrated Freight & Logistics,540000,5169999872
URI,Industrials,Rental & Leasing Services,18250,920000000
VFC,Consumer Cyclical,Apparel Manufacturing,48000,-189923008
VMC,Basic Materials,Building Materials,8847,587995008
WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",78000,1360000000
WRK,Consumer Cyclical,Packaging & Containers,50000,-677500032
WU,Financial Services,Credit Services,11000,744300032
WY,Real Estate,REIT—Specialty,9372,1328000000
XYL,Industrials,Specialty Industrial Machinery,15600,254000000
YUM,Consumer Cyclical,Restaurants,38000,1147000064
